"state","abbreviation","region","zip","latitude","longitude"
"Massachusetts","MA","Northeast","01438",42.562243,-72.031402
"Massachusetts","MA","Northeast","01440",42.584206,-71.988737
"Massachusetts","MA","Northeast","01450",42.61176,-71.565269
"Massachusetts","MA","Northeast","01451",42.501908,-71.568201
"Massachusetts","MA","Northeast","01452",42.489598,-72.002878
"Massachusetts","MA","Northeast","01453",42.519977,-71.763202
"Massachusetts","MA","Northeast","01460",42.535931,-71.490569
"Massachusetts","MA","Northeast","01462",42.582607,-71.720464
"Massachusetts","MA","Northeast","01463",42.670643,-71.602858
"Massachusetts","MA","Northeast","01464",42.573654,-71.640986
"Massachusetts","MA","Northeast","01467",42.489646,-71.609577
"Massachusetts","MA","Northeast","01468",42.542767,-72.068345
"Massachusetts","MA","Northeast","01469",42.664828,-71.695087
"Massachusetts","MA","Northeast","01473",42.5546,-71.90544
"Massachusetts","MA","Northeast","01474",42.669685,-71.752751
"Massachusetts","MA","Northeast","01475",42.66816,-72.055644
"Massachusetts","MA","Northeast","01501",42.198708,-71.846006
"Massachusetts","MA","Northeast","01503",42.384929,-71.633889
"Massachusetts","MA","Northeast","01504",42.039991,-71.532406
"Massachusetts","MA","Northeast","01505",42.355049,-71.716157
"Massachusetts","MA","Northeast","01506",42.180788,-72.107891
"Massachusetts","MA","Northeast","01507",42.133935,-71.968025
"Massachusetts","MA","Northeast","01510",42.411887,-71.690005
"Massachusetts","MA","Northeast","01515",42.209682,-72.040178
"Massachusetts","MA","Northeast","01516",42.053072,-71.752241
"Massachusetts","MA","Northeast","01518",42.127477,-72.118818
"Massachusetts","MA","Northeast","01519",42.203404,-71.679739
"Massachusetts","MA","Northeast","01520",42.336372,-71.850626
"Massachusetts","MA","Northeast","01521",42.046799,-72.180144
"Massachusetts","MA","Northeast","01522",42.375634,-71.867382
"Massachusetts","MA","Northeast","01523",42.483569,-71.675585
"Massachusetts","MA","Northeast","01524",42.249603,-71.919217
"Massachusetts","MA","Northeast","01525",42.106794,-71.630518
"Massachusetts","MA","Northeast","01527",42.192246,-71.777649
"Massachusetts","MA","Northeast","01529",42.036642,-71.578779
"Massachusetts","MA","Northeast","01531",42.319125,-72.130814
"Massachusetts","MA","Northeast","01532",42.323342,-71.646236
"Massachusetts","MA","Northeast","01534",42.142074,-71.643348
"Massachusetts","MA","Northeast","01535",42.267564,-72.066876
"Massachusetts","MA","Northeast","01536",42.231309,-71.692642
"Massachusetts","MA","Northeast","01537",42.158966,-71.897051
"Massachusetts","MA","Northeast","01540",42.116263,-71.857465
"Massachusetts","MA","Northeast","01541",42.454125,-71.87754
"Massachusetts","MA","Northeast","01542",42.204251,-71.908907
"Massachusetts","MA","Northeast","01543",42.388285,-71.969865
"Massachusetts","MA","Northeast","01545",42.284767,-71.714228
"Massachusetts","MA","Northeast","01550",42.059737,-72.033908
"Massachusetts","MA","Northeast","01560",42.175395,-71.674223
"Massachusetts","MA","Northeast","01561",42.44397,-71.685583
"Massachusetts","MA","Northeast","01562",42.247211,-71.991867
"Massachusetts","MA","Northeast","01564",42.447924,-71.776045
"Massachusetts","MA","Northeast","01566",42.103214,-72.079545
"Massachusetts","MA","Northeast","01568",42.176526,-71.603588
"Massachusetts","MA","Northeast","01569",42.05593,-71.631232
"Massachusetts","MA","Northeast","01570",42.047532,-71.846952
"Massachusetts","MA","Northeast","01571",42.053778,-71.935075
"Massachusetts","MA","Northeast","01581",42.268426,-71.613309
